C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,C1_OBJ_NM_ENG
시군구별,1697,32370,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Hwacheon-gun,화천군,명,101,By Administrative District
시군구별,1433,32380,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yanggu-gun,양구군,명,101,By Administrative District
시군구별,1959,32390,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Inje-gun,인제군,명,101,By Administrative District
시군구별,2230,32400,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Goseong-gun,고성군,명,101,By Administrative District
시군구별,2284,32410,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yangyang-gun,양양군,명,101,By Administrative District
시군구별,96884,33,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Chungcheongbuk-Do,충청북도,명,101,By Administrative District
시군구별,10636,33010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Cheongju-si,청주시상당구,명,101,By Administrative District
시군구별,13349,33020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Chungju-si,충주시,명,101,By Administrative District
시군구별,10225,33030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jecheon-si,제천시,명,101,By Administrative District
시군구별,3097,33320,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Boeun-gun,보은군,명,101,By Administrative District
시군구별,4986,33330,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Okcheon-gun,옥천군,명,101,By Administrative District
시군구별,4224,33340,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeongdong-gun,영동군,명,101,By Administrative District
시군구별,4555,33350,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jincheon-gun,진천군,명,101,By Administrative District
시군구별,3619,33360,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Goesan-gun,괴산군,명,101,By Administrative District
시군구별,7285,33370,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Eumseong-gun,음성군,명,101,By Administrative District
시군구별,2683,33380,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Danyang-gun,단양군,명,101,By Administrative District
시군구별,2432,33390,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jeungpyeong-gun,증평군,명,101,By Administrative District
시군구별,133686,34,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Chungcheongnam-Do,충청남도,명,101,By Administrative District
시군구별,12797,34010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Cheonan-si,천안시 동남구,명,101,By Administrative District
시군구별,8559,34020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gongju-si,공주시,명,101,By Administrative District
