순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10138,남양주시,대원운수,땡큐10,222000191,다산차고지,222001920,두산알프하임정문,222000194,N,20231231
10139,남양주시,대원운수,땡큐11,222000201,수택고등학교정문,221000310,다산롯데캐슬.반도유보라,222000278,N,20231231
10140,남양주시,대원운수,땡큐12,222000180,수택고등학교정문,221000310,반도유보라정문.다산포레스트2단지,222001922,N,20231231
10141,남양주시,대원운수,땡큐30,222000200,청학리,222001626,금곡동구종점.금곡초교,222000141,N,20231231
10142,남양주시,대원운수,땡큐50,222000199,청학리,222001626,금곡동구종점.금곡초교,222000141,N,20231231
10143,남양주시,대원운수,땡큐58-3,222000217,대성리,239000682,도농역.동화중고교.다산플루리움(중),222001321,N,20231231
10144,남양주시,경기버스,11,236000050,소학1리,236000596,강변역A,104000183,N,20231231
10145,남양주시,경기버스,115,222000222,사능차고지,222000755,석계역1번출구.A,110000183,Y,20231231
10146,남양주시,경기버스,23,222000013,내촌차고지,236001328,스타필드하남,227000307,Y,20231231
10147,남양주시,경기버스,7-4,222000019,사릉역,222001575,금곡2리.경복대학,222000650,N,20231231
10148,남양주시,경기버스,7-7,222000016,광릉테크노밸리입구,222001426,진접역4.5번출구.엠타워.단우타워,222001556,N,20231231
10149,남양주시,경기버스,7-8,222000096,광릉테크노밸리입구,222001426,접동마을,222001118,N,20231231
10150,남양주시,경기버스,7-9,222000196,진접읍사무소,222001457,팔현2리종점,222000830,N,20231231
10151,남양주시,경기버스,7007,222000076,광릉내,222001122,강남역.강남역사거리,121000091,N,20231231
10152,남양주시,경기버스,707,222000002,진벌리차고지입구,222001616,현대코아,105000199,N,20231231
10153,남양주시,경기버스,71,222000006,금곡산업단지,222000152,봉현마을.현대병원,222001086,N,20231231
10154,남양주시,경기버스,72,222000223,진벌리차고지,222000652,봉현마을.광동중고등학교,222000526,N,20231231
10155,남양주시,경기버스,8012,222000090,광릉내,222001122,잠실광역환승센터,123000611,N,20231231
10156,남양주시,경기버스,88,222000008,내촌차고지,236001328,경동시장앞,105000081,N,20231231
10157,남양주시,경기버스,땡큐31,222000218,진벌마을,222000684,극동.성호아파트.중앙병원,222000972,N,20231231
10158,남양주시,경기버스,땡큐90,222000195,광릉내,222001122,한신더휴6.8단지,222001390,N,20231231
10159,남양주시,경기운수,10-5,234000028,호평동차고지,222000824,당고개역,110000650,N,20231231
10160,남양주시,경기운수,1000,221000003,호평동차고지,222000824,잠실광역환승센터,123000611,N,20231231
10161,남양주시,경기운수,170,222000221,사능차고지,222000755,현대코아,105000199,N,20231231
10162,남양주시,경기운수,2000,222000075,진벌리차고지,222000652,강남역.강남역사거리,121000091,N,20231231
10163,남양주시,경기운수,2000-1,222000122,진벌리차고지,222000652,강남역.강남역사거리,121000091,N,20231231
10164,남양주시,경기운수,202,222000004,진벌리차고지,222000652,현대코아,105000199,N,20231231
10165,남양주시,경기운수,21,222000170,금곡2리.경복대학,222000650,의정부역.흥선지하도입구,207000439,Y,20231231
10166,남양주시,경기운수,5-1,222000098,금곡산업단지,222000152,사릉역,222001575,N,20231231
10167,남양주시,경기운수,5-2,222000211,봉영사,222000711,오남역,222000719,N,20231231
10168,남양주시,경기운수,5-5,222000214,접동마을,222001123,진접고.화봉초교.신안인스빌아파트,222001376,N,20231231
10169,남양주시,경기운수,6-1,222000017,윗독정리,222000921,사릉역,222001575,N,20231231
10170,남양주시,경기운수,6-2,222000020,진접역4.5번출구.엠타워.단우타워,222001556,윗독정,222000922,N,20231231
10171,남양주시,경기운수,9,222000009,진벌리차고지,222000652,강변역B,104000280,N,20231231
10172,남양주시,경기운수,9-1,222000111,진벌리차고지,222000652,강변역B,104000280,N,20231231
10173,남양주시,경기운수,땡큐60,222000110,대경대학교서울한류캠퍼스,222000767,금곡동구종점.금곡초교,222000141,N,20231231
10174,남양주시,경기운수,땡큐70,222000190,진벌리차고지,222000652,금곡동구종점.금곡초교,222000141,N,20231231
10175,부천시,도원교통,50,210000001,고강공영차고지,212000379,송내역남부,211000095,Y,20240307
10176,부천시,도원교통,12월 01일,210000002,대장동종점,212000011,괴안사거리.삼오유치원,211000065,Y,20240307
10177,부천시,도원교통,Jan-50,210000003,고강공영차고지,212000379,포도마을사거리.현대백화점.이마트,210000488,Y,20240307
10178,부천시,부일교통,55,210000004,소사공영차고지,211000219,역곡역.역곡남부시장,211000118,N,20240307
10179,부천시,부일교통,Jan-55,210000005,시온고등학교,211000168,역곡역.역곡남부시장,211000118,N,20240307
10180,부천시,부일교통,53,210000006,대장공영차고지,212000232,두산삼성주공아파트,211000177,Y,20240307
10181,부천시,부일교통,56,210000007,부천터미널소풍,210000561,소새울역.한울빛도서관.복사초등학교,211000011,Y,20240307
10182,부천시,성일운수,52,210000009,상동회차지,210000467,온수남부,116000458,Y,20240307
10183,부천시,소신여객,Feb-70,210000012,춘의동차고지,210000156,국회의사당역,118000048,Y,20240307
10184,부천시,소신여객,3,210000013,소사공영차고지,211000219,김포공항국내선(9번홈),115000601,Y,20240307
10185,부천시,소신여객,5,210000014,고강공영차고지,212000379,부천테크노파크3단지301동앞,212000187,Y,20240307
10186,부천시,소신여객,05월 03일,210000016,부천역북부(기점),210000481,상동역1번출구.부천터미널소풍.홈플러스,210000481,N,20240307
10187,부천시,소신여객,05월 04일,210000017,부천역북부(기점),210000481,부천체육관북문,210000202,N,20240307
10188,부천시,소신여객,6,210000019,전진아파트,211000045,신중동역3번출구.원미경찰서.롯데백화점,210000453,N,20240307
10189,부천시,소신여객,8,210000024,대장공영차고지,212000232,고강동우체국,212000071,Y,20240307
10190,부천시,소신여객,02월 23일,210000033,소사공영차고지,211000219,라일락마을어린이공원,210000196,Y,20240307
10191,부천시,소신여객,70,210000034,부개역.상동차고지,210000634,당산역,118000501,N,20240307
10192,부천시,소신여객,Mar-70,210000036,대장공영차고지,212000232,경방타임스퀘어.신세계백화점,118000032,Y,20240307
10193,부천시,소신여객,71,210000037,소사공영차고지,211000219,송정역,115000449,Y,20240307
10194,포천시,선진시내버스,3100,207000070,대진대주차장대기(경유),277102087,뱅뱅사거리(중),121000005,N,20240306
