연도,시도,지체장애_남,지체장애_여,시각장애_남,시각장애_여,청각장애_남,청각장애_여,언어장애_남,언어장애_여,지적장애_남,지적장애_여,뇌병변장애_남,뇌병변장애_여,자폐성장애_남,자폐성장애_여,정신장애_남,정신장애_여,신장장애_남,신장장애_여,심장장애_남,심장장애_여,호흡기장애_남,호흡기장애_여,간장애_남,간장애_여,안면장애_남,안면장애_여,장루요루장애_남,장루요루장애_여,뇌전증장애_남,뇌전증장애_여
2020,전남 Jeonnam,35181,34420,7715,6131,10318,10062,680,345,7363,4869,6120,5209,704,128,3133,2572,2208,1385,114,65,403,108,434,135,53,37,400,259,224,167
2020,경북 Gyeongbuk,45257,34602,8949,6879,17205,18044,889,405,9993,6430,8879,6780,1083,201,3949,3451,3056,2019,201,105,506,152,639,240,111,87,517,365,215,157
2020,경남 Gyongnam,53351,37561,10082,6903,13254,12860,1066,444,9423,6321,9783,7795,1709,371,4187,3747,3758,2657,161,101,536,237,586,233,120,81,636,385,224,177
2020,제주 Jeju,8012,6383,2337,1805,3017,3473,287,116,1937,1456,1984,1583,522,95,649,646,922,566,55,21,192,57,139,53,18,7,117,83,56,67
2021,서울 Seoul,94721,73265,24740,16480,32918,26796,2434,982,16724,10606,23842,16457,5788,1067,8470,8130,10871,7430,654,354,1578,565,1835,828,210,171,1830,1129,687,561
2021,부산 Busan,45742,31274,10545,7329,13859,11512,1112,463,7507,4877,11459,8031,1859,395,4243,3999,4710,3301,301,154,720,269,614,262,139,89,698,436,316,236
2021,대구 Daegu,30463,20148,7044,4830,13034,12663,826,322,6352,4152,7393,5179,1147,219,3084,2911,3012,2040,154,85,320,93,490,217,85,58,364,261,187,149
2021,인천 Incheon,41856,26086,8254,5497,13450,11678,1113,430,6698,4367,7672,5580,1502,304,2323,2542,3638,2601,161,101,449,183,492,236,81,63,546,335,212,196
2021,광주 Gwangju,16498,12962,4228,2976,5416,4804,408,163,4264,3038,3877,2922,806,174,1530,1640,1535,1036,100,40,207,86,275,111,37,26,228,158,140,134
2021,대전 Daejeon,18989,13003,4149,2793,5337,4805,421,182,4071,2774,4041,3152,950,180,1602,1619,1753,1178,67,44,215,69,240,118,53,22,267,140,143,112
2021,울산 Ulsan,14486,8721,2875,1959,4558,3356,310,143,2736,1806,2740,2089,610,119,715,757,1229,927,105,69,184,71,254,102,47,24,138,87,61,52
2021,세종 Sejong,3549,2294,766,451,895,885,92,21,731,417,621,508,192,38,240,214,270,179,16,7,41,15,46,23,8,5,49,31,15,11
2021,경기 Gyeonggi,160309,105870,33467,21193,44838,37899,3931,1499,28950,18345,31916,23190,7769,1386,9591,10295,14610,10294,847,448,1829,711,2565,1127,375,258,2341,1401,753,661
2021,강원 Gangwon,28919,20616,5410,4009,7930,7006,561,228,4981,3569,5310,3730,706,141,1670,1562,1893,1347,81,40,410,103,347,153,56,45,407,262,129,93
2021,충북 Chungbuk,26200,18935,5215,3588,7232,6843,507,207,6376,4487,4819,3666,722,134,1934,1819,1885,1361,91,52,238,105,338,130,57,35,381,239,122,121
2021,충남 Chungnam,35939,26271,7232,4931,11849,11089,758,327,7375,5113,6126,4735,991,192,2789,2579,2345,1617,120,82,431,116,387,164,80,51,467,314,161,118
2021,전북 Jeonbuk,33211,29702,6515,4673,10330,10000,901,381,7392,5250,6277,5340,768,165,2828,2649,2171,1315,102,53,270,84,357,131,52,70,388,256,222,204
2021,전남 Jeonnam,34655,33749,7578,6043,10270,10089,698,355,7432,4918,6037,5125,767,153,3115,2583,2392,1457,120,64,397,109,452,148,52,37,432,263,219,159
2021,경북 Gyeongbuk,44808,34104,8916,6855,17793,18886,884,424,10143,6508,8829,6763,1187,236,3972,3500,3273,2115,202,109,489,159,662,262,111,86,530,368,210,154
2021,경남 Gyongnam,52870,37041,10065,6896,13687,13325,1126,449,9636,6454,9689,7690,1876,421,4191,3809,3972,2818,164,104,545,239,619,247,121,80,675,396,232,184
2021,제주 Jeju,7921,6285,2322,1796,3109,3608,292,114,2007,1501,1952,1551,578,108,661,648,968,592,55,20,180,61,146,55,18,10,115,80,57,66
2022,서울 Seoul,92655,71809,24622,16369,34150,27845,2435,986,16855,10779,23498,16361,6306,1185,8414,8132,11250,7633,640,358,1585,571,1858,857,211,174,1914,1173,677,557
2022,부산 Busan,44907,30660,10485,7255,14369,11959,1131,477,7645,4999,11238,7872,2056,466,4234,3991,4851,3373,290,147,714,265,637,282,140,88,720,438,315,241
2022,대구 Daegu,29925,19736,6980,4808,13583,13328,841,326,6469,4211,7226,5046,1286,262,3047,2877,3082,2093,152,77,320,87,501,233,82,59,379,266,182,147
2022,인천 Incheon,41418,26019,8286,5514,14397,12501,1126,435,6932,4482,7685,5617,1678,353,2343,2578,3792,2727,156,98,443,172,509,252,84,60,613,362,204,199
2022,광주 Gwangju,16236,12708,4207,2939,5396,4781,426,180,4378,3083,3834,2848,870,202,1530,1653,1591,1045,96,40,202,83,284,112,36,27,253,168,134,134
2022,대전 Daejeon,18651,12678,4104,2801,5332,4761,423,186,4137,2872,3972,3061,995,193,1602,1630,1806,1196,76,42,207,68,253,126,58,23,284,147,141,116
2022,울산 Ulsan,14348,8609,2834,1956,4622,3400,325,138,2807,1860,2758,2078,668,139,715,756,1250,945,105,65,198,68,263,112,48,24,165,97,65,55
2022,세종 Sejong,3564,2294,775,465,928,899,103,20,748,433,627,490,217,48,252,221,301,202,19,8,36,14,53,28,8,5,49,32,16,8
2022,경기 Gyeonggi,159215,105059,33597,21319,46984,39706,3962,1500,29702,18746,31911,23145,8637,1647,9731,10415,15302,10583,837,433,1817,729,2675,1188,377,256,2490,1450,757,664
2022,강원 Gangwon,28703,20433,5401,3995,8039,7080,562,233,5036,3586,5265,3688,802,159,1674,1574,1974,1410,83,44,381,105,375,164,61,45,430,264,132,96
2022,충북 Chungbuk,26005,18668,5221,3572,7337,6996,505,211,6466,4530,4773,3608,831,164,1927,1799,1984,1412,90,50,251,105,351,143,59,35,390,237,130,116
2022,충남 Chungnam,35859,25993,7252,4894,11915,11213,779,341,7513,5149,5993,4650,1124,235,2761,2604,2446,1687,116,82,431,112,405,173,79,51,498,325,158,119
2022,전북 Jeonbuk,32901,29113,6450,4608,10705,10360,896,391,7498,5325,6151,5187,867,193,2807,2662,2275,1386,105,54,265,83,363,146,52,72,417,265,216,201
2022,전남 Jeonnam,34241,33096,7481,5931,10240,10040,710,352,7510,4957,5872,4948,872,171,3117,2579,2497,1515,110,63,369,111,478,157,51,37,448,268,215,159
2022,경북 Gyeongbuk,44341,33505,8829,6783,18242,19439,927,424,10323,6620,8754,6584,1332,270,3939,3520,3427,2196,188,108,480,154,685,274,111,83,567,364,209,157
2022,경남 Gyongnam,52326,36508,10058,6879,14080,13740,1129,448,9838,6571,9697,7550,2128,470,4176,3857,4114,2897,167,109,567,227,660,256,121,80,692,401,247,193
2022,제주 Jeju,7888,6220,2327,1770,3181,3676,301,120,2102,1546,1968,1522,655,122,652,655,1013,587,51,19,167,64,157,56,18,10,127,86,50,66
2023,서울 Seoul,90378,70025,24368,16338,35038,28820,2344,964,17095,10930,22969,15971,6957,1348,8373,8178,11463,7658,609,333,1545,567,1899,891,219,174,1933,1189,655,564
2023,부산 Busan,43949,29987,10359,7224,14871,12327,1118,475,7775,5087,10866,7750,2330,532,4182,4008,4931,3446,276,139,670,252,646,291,136,90,741,457,315,237
2023,대구 Daegu,29874,19802,6973,4881,14456,14323,825,329,6743,4386,7144,5084,1496,306,3056,2947,3205,2158,156,73,304,83,510,248,86,61,401,283,178,149
