C1_OBJ_NM,DT,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,UNIT_NM_ENG
행정구역별,50517,1236030,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Suncheon-si,순천시,명,101,
행정구역별,278137,1236030,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Suncheon-si,순천시,명,101,
행정구역별,18.2,1236030,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Suncheon-si,순천시,%,101, 
행정구역별,28254,1236040,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Naju-si,나주시,명,101,
행정구역별,117377,1236040,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Naju-si,나주시,명,101,
행정구역별,24.1,1236040,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Naju-si,나주시,%,101, 
행정구역별,23650,1236060,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangyang-si,광양시,명,101,
행정구역별,152666,1236060,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangyang-si,광양시,명,101,
행정구역별,15.5,1236060,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangyang-si,광양시,%,101, 
행정구역별,15373,1236310,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Damyang-gun,담양군,명,101,
행정구역별,45373,1236310,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Damyang-gun,담양군,명,101,
행정구역별,33.9,1236310,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Damyang-gun,담양군,%,101, 
행정구역별,10576,1236320,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gokseong-gun,곡성군,명,101,
행정구역별,26905,1236320,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gokseong-gun,곡성군,명,101,
행정구역별,39.3,1236320,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gokseong-gun,곡성군,%,101, 
행정구역별,9246,1236330,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gurye-gun,구례군,명,101,
